t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error
158,1,11.347544,2.387377,2.314845,0,0,22.577989,1,4180371.7373,851768.7428,4726098.3271,4180369.2549,851767.1010,4726105.0379,15.1276
159,1,3.034179,0.266818,2.319928,0,0,22.577989,1,4180371.3753,851768.2647,4726098.8455,4180368.5247,851766.9522,4726105.7060,6.8310
160,1,9.119441,1.768175,1.704810,0,0,22.577989,1,4180371.9167,851768.6554,4726098.3464,4180367.7946,851766.8034,4726106.3742,16.7880
161,1,6.928796,1.504198,1.696095,0,0,22.577989,1,4180372.6486,851768.9254,4726098.3498,4180367.0644,851766.6547,4726107.0423,15.5547
162,1,7.515319,0.773441,1.176655,0,0,22.577989,1,4180372.5570,851769.4934,4726099.5129,4180366.3343,851766.5059,4726107.7104,9.3667
163,1,13.946023,2.179666,1.127228,0,0,22.577989,1,4180373.0193,851769.3436,4726101.5990,4180365.6042,851766.3571,4726108.3786,11.9618
164,1,18.916946,5.931177,1.690490,0,0,22.577989,1,4180374.7120,851769.4925,4726099.9855,4180364.8740,851766.2083,4726109.0467,29.4933
165,1,13.265709,2.874145,1.956365,0,0,22.577989,1,4180375.6697,851768.6659,4726098.8347,4180364.1439,851766.0596,4726109.7148,26.0228
166,1,23.031870,11.854064,2.958087,1,0,22.577989,1,4180372.6829,851768.7939,4726101.1050,4180363.4138,851765.9108,4726110.3830,7.2322
167,1,17.912985,3.293153,3.283221,0,0,22.577989,1,4180372.9152,851768.1521,4726103.7544,4180362.6836,851765.7620,4726111.0511,14.5869
168,1,5.698412,1.047196,3.149203,0,0,22.577989,1,4180372.0315,851767.3590,4726104.4628,4180361.9535,851765.6133,4726111.7192,9.2726
169,1,5.198001,0.357960,3.158317,0,0,22.577989,1,4180371.3826,851767.2058,4726105.6160,4180361.2233,851765.4645,4726112.3874,8.9590
170,1,17.065112,9.103083,3.891808,0,0,22.577989,1,4180368.5062,851768.4314,4726105.4652,4180360.4932,851765.3157,4726113.0555,15.9229
171,1,6.779297,1.376352,3.879024,0,0,22.577989,1,4180368.3842,851767.3728,4726106.3425,4180359.7631,851765.1670,4726113.7236,11.9706
172,1,10.123844,2.926822,4.094362,0,0,22.577989,1,4180367.4373,851765.6854,4726107.5059,4180359.0329,851765.0182,4726114.3918,9.5123
173,1,21.287469,4.629975,4.339393,0,0,22.577989,1,4180367.2285,851764.5706,4726105.3694,4180358.3028,851764.8694,4726115.0599,29.8519
174,1,7.057869,1.205230,3.866798,0,0,22.577989,1,4180365.7926,851763.8101,4726106.3472,4180357.5726,851764.7207,4726115.7281,7.4199
175,1,14.305433,4.711525,4.050536,0,0,22.577989,1,4180364.9794,851765.3527,4726108.0290,4180356.8425,851764.5719,4726116.3962,11.9716
176,1,27.143694,6.694471,3.534577,0,0,22.577989,1,4180363.9480,851765.4329,4726104.9953,4180356.1124,851764.4231,4726117.0643,36.0944
177,1,8.057978,1.651125,3.370374,0,0,22.577989,1,4180362.3501,851764.5124,4726105.8885,4180355.3822,851764.2744,4726117.7325,8.8330
178,1,15.186254,2.280598,3.493714,0,0,22.577989,1,4180361.9437,851764.7001,4726108.1685,4180354.6521,851764.1256,4726118.4006,9.6363
179,1,4.913926,0.666891,3.524607,0,0,22.577989,1,4180360.5923,851764.9461,4726108.9505,4180353.9219,851763.9768,4726119.0687,9.3657
180,1,2.409038,0.180110,2.632310,0,0,22.577989,1,4180359.9403,851765.1718,4726109.5385,4180353.1918,851763.8280,4726119.7369,12.4107
181,1,14.019676,1.805315,2.675206,0,0,22.577989,1,4180359.4652,851765.0384,4726111.8632,4180352.4617,851763.6793,4726120.4050,9.1748
182,1,27.908808,6.949367,3.077461,0,0,22.577989,1,4180358.6752,851765.2092,4726116.1558,4180351.7315,851763.5305,4726121.0731,20.6353
183,1,9.743132,1.279498,2.742413,0,0,22.577989,1,4180358.5600,851765.5338,4726118.1935,4180351.0014,851763.3817,4726121.7413,11.9060
184,1,7.260225,1.371640,2.759054,0,0,22.577989,1,4180356.9066,851765.9854,4726119.6894,4180350.2712,851763.2330,4726122.4094,5.5781
185,1,5.746645,0.802608,2.368163,0,0,22.577989,1,4180356.6516,851766.6088,4726121.1556,4180349.5411,851763.0842,4726123.0775,11.4831
186,1,8.245543,2.286076,1.927323,0,0,22.577989,1,4180357.0334,851765.6808,4726122.0806,4180348.8110,851762.9354,4726123.7457,13.5635
187,1,7.310256,1.406746,1.902885,0,0,22.577989,1,4180355.7338,851766.5163,4726122.5750,4180348.0808,851762.7867,4726124.4138,10.4047
188,1,16.760749,3.755902,2.050415,0,0,22.577989,1,4180353.7995,851766.2224,4726121.5610,4180347.3507,851762.6379,4726125.0819,16.8309
189,1,26.144416,7.280660,2.711792,0,0,22.577989,1,4180354.0456,851765.5217,4726119.0854,4180346.6205,851762.4891,4726125.7501,31.0235
190,1,5.239922,0.652117,2.758993,0,0,22.577989,1,4180352.9622,851766.0935,4726120.1348,4180345.8904,851762.3404,4726126.4182,9.1538
191,1,6.166046,0.564941,2.634956,0,0,22.577989,1,4180351.6901,851766.2460,4726121.4846,4180345.1603,851762.1916,4726127.0863,6.3480
192,1,8.740599,2.423223,2.182341,0,0,22.577989,1,4180352.3744,851766.5864,4726122.5133,4180344.4301,851762.0428,4726127.7545,16.0969
193,1,5.228007,0.867332,2.141125,0,0,22.577989,1,4180350.8828,851766.3053,4726123.4294,4180343.7000,851761.8940,4726128.4226,5.7706
194,1,13.608325,1.661711,2.170132,0,0,22.577989,1,4180350.1842,851766.1442,4726122.3691,4180342.9698,851761.7453,4726129.0907,20.2363
195,1,5.574053,0.715888,2.161460,0,0,22.577989,1,4180349.9858,851765.5997,4726123.4554,4180342.2397,851761.5965,4726129.7589,10.7247
196,1,4.757248,0.645541,1.997406,0,0,22.577989,1,4180349.1321,851764.8023,4726124.3821,4180341.5095,851761.4477,4726130.4270,7.9789
197,1,5.619619,0.897598,1.946491,0,0,22.577989,1,4180349.0806,851764.0428,4726125.3851,4180340.7794,851761.2990,4726131.0951,11.7191
198,1,5.050038,0.847577,1.655659,0,0,22.577989,1,4180347.5605,851764.0085,4726125.9616,4180340.0493,851761.1502,4726131.7632,8.1905
199,1,12.570917,2.977964,1.225389,0,0,22.577989,1,4180345.6466,851764.6387,4726125.3519,4180339.3191,851761.0014,4726132.4314,17.1775
200,1,18.936525,5.130338,1.673211,0,0,22.577989,1,4180345.0769,851762.9615,4726123.7282,4180338.5890,851760.8527,4726133.0995,25.6129
201,1,19.653994,5.248095,2.141527,0,0,22.577989,1,4180345.0211,851761.3528,4726121.8230,4180337.8588,851760.7039,4726133.7676,29.7860
202,1,7.610393,1.629664,2.062171,0,0,22.577989,1,4180344.1175,851759.7648,4726122.5660,4180337.1287,851760.5551,4726134.4358,12.3798
203,1,13.128453,3.755850,2.351022,0,0,22.577989,1,4180345.0727,851759.3810,4726124.0652,4180336.3986,851760.4064,4726135.1039,16.6890
204,1,5.500318,0.725296,2.257381,0,0,22.577989,1,4180344.7203,851759.6261,4726124.9029,4180335.6684,851760.2576,4726135.7720,13.0793
205,1,9.924098,1.743235,2.360116,0,0,22.577989,1,4180345.1691,851759.5655,4726126.3687,4180334.9383,851760.1088,4726136.4402,15.1541
206,1,8.321877,1.206225,2.416184,0,0,22.577989,1,4180344.2304,851758.4385,4726127.7466,4180334.2081,851759.9600,4726137.1083,9.8840
207,1,11.959753,2.510610,2.577485,0,0,22.577989,1,4180343.2403,851759.1635,4726129.5710,4180333.4780,851759.8113,4726137.7764,8.9205
208,1,9.612094,2.732865,2.766014,0,0,22.577989,1,4180343.6160,851757.5375,4726129.6878,4180332.7478,851759.6625,4726138.4446,20.9530
209,1,8.788130,1.641287,2.632346,0,0,22.577989,1,4180342.0337,851757.0054,4726131.1145,4180332.0177,851759.5137,4726139.1127,6.2465
