t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error,lambda_k
87,0,8.293967,2.140415,1.885965,0,0,18.157224,1,4180421.9855,851778.0207,4726056.6632,4180421.0944,851777.6635,4726057.5999,7.8274,1.000000
88,0,11.437466,3.426827,1.930190,0,0,17.613659,1,4180420.2864,851777.4532,4726058.0567,4180420.3642,851777.5147,4726058.2681,10.0239,1.000000
89,0,19.942952,5.023025,2.201326,0,0,17.142441,1,4180418.9202,851776.6974,4726060.7708,4180419.6341,851777.3659,4726058.9362,19.7696,1.000000
90,0,24.071928,5.884637,2.433694,0,0,16.727578,1,4180418.2211,851775.9037,4726058.9564,4180418.9040,851777.2172,4726059.6044,22.3866,1.000000
91,0,13.536164,6.580493,2.887430,0,0,16.356804,1,4180417.0640,851777.1296,4726059.6169,4180418.1739,851777.0684,4726060.2725,12.4223,1.000000
92,0,6.844578,1.166376,2.878191,0,0,16.020654,1,4180416.7769,851777.3165,4726059.7857,4180417.4437,851776.9196,4726060.9406,6.7613,1.000000
93,0,3.289744,0.245854,2.818800,0,0,15.711802,1,4180416.3068,851777.1308,4726060.1531,4180416.7136,851776.7709,4726061.6088,3.9082,1.000000
94,0,9.526941,2.211233,2.896560,0,0,15.424566,1,4180416.1750,851776.4741,4726060.1141,4180415.9835,851776.6221,4726062.2769,10.2552,1.000000
95,0,7.753029,1.958118,3.022143,0,0,15.154547,1,4180415.1101,851776.9461,4726060.3984,4180415.2533,851776.4733,4726062.9451,8.6158,1.000000
96,0,13.904546,5.477246,3.411422,0,0,14.898340,1,4180415.3449,851776.0440,4726060.2201,4180414.5232,851776.3246,4726063.6132,15.2205,1.000000
97,0,15.513422,8.270717,4.024453,0,0,14.653324,1,4180413.2406,851775.4102,4726061.1354,4180413.7931,851776.1758,4726064.2814,14.2133,1.000000
98,0,6.213301,1.275976,3.809367,0,0,14.417488,1,4180412.9062,851774.7785,4726061.4644,4180413.0629,851776.0270,4726064.9495,8.2025,1.000000
99,0,8.523114,2.114176,3.518483,0,0,14.189300,1,4180412.8952,851774.4270,4726062.3979,4180412.3328,851775.8783,4726065.6176,7.5410,1.000000
100,0,16.078950,2.866350,3.216654,0,0,13.967598,1,4180412.4529,851773.8578,4726064.3531,4180411.6027,851775.7295,4726066.2858,13.5057,1.000000
101,0,6.235057,1.382032,2.696808,0,0,13.751513,1,4180411.5926,851774.1550,4726064.8434,4180410.8725,851775.5807,4726066.9539,5.0907,1.000000
102,0,8.571627,2.218050,2.801975,0,0,13.540398,1,4180410.9566,851774.6268,4726065.8025,4180410.1424,851775.4320,4726067.6221,6.4198,1.000000
103,0,10.417442,3.839857,3.161375,0,0,13.333779,1,4180409.3529,851774.3656,4726066.2130,4180409.4123,851775.2832,4726068.2902,10.2718,1.000000
104,0,14.636177,2.089100,3.149162,0,0,13.131312,1,4180408.5527,851774.3248,4726065.5649,4180408.6821,851775.1344,4726068.9584,16.6908,1.000000
105,0,18.793182,5.744081,3.527758,0,0,12.932752,1,4180408.6189,851773.8125,4726067.4926,4180407.9520,851774.9857,4726069.6265,16.0198,1.000000
106,0,2.884645,0.294263,3.009460,0,0,12.737927,1,4180407.6977,851773.5459,4726068.1539,4180407.2219,851774.8369,4726070.2946,3.1775,1.000000
107,0,15.012649,2.678563,2.450245,0,0,12.546718,1,4180406.7993,851773.6782,4726069.9389,4180406.4917,851774.6881,4726070.9628,12.5018,1.000000
108,0,17.750711,7.934718,3.116119,0,0,12.359047,1,4180406.8294,851774.3530,4726069.6544,4180405.7616,851774.5394,4726071.6309,18.0382,1.000000
109,0,3.410803,0.402888,2.944990,0,0,12.174861,1,4180406.3259,851774.3991,4726070.3551,4180405.0315,851774.3906,4726072.2991,4.0802,1.000000
110,0,9.762896,0.883612,2.746717,0,0,11.994124,1,4180405.6635,851774.2431,4726070.2101,4180404.3014,851774.2418,4726072.9672,11.8359,1.000000
111,0,7.696071,2.082672,2.816781,0,0,11.816814,1,4180404.5340,851774.4685,4726070.9633,4180403.5712,851774.0931,4726073.6354,6.4436,1.000000
112,0,7.249456,1.645486,2.759524,0,0,11.642912,1,4180404.3158,851774.1107,4726071.3156,4180402.8411,851773.9443,4726074.3035,9.4303,1.000000
113,0,12.605036,1.512400,2.526778,0,0,11.472405,1,4180403.5647,851773.9854,4726072.8598,4180402.1110,851773.7955,4726074.9716,9.5153,1.000000
114,0,7.992290,1.494899,2.467358,0,0,11.305278,1,4180402.5703,851774.1325,4726073.9028,4180401.3808,851773.6468,4726075.6398,5.9341,1.000000
115,0,5.960505,1.319129,2.024863,0,0,11.141515,1,4180401.4559,851773.8897,4726074.5195,4180400.6507,851773.4980,4726076.3079,5.0552,1.000000
116,0,11.042512,2.513245,2.246761,0,0,10.981097,1,4180401.0749,851774.1838,4726075.7698,4180399.9206,851773.3492,4726076.9761,10.3319,1.000000
117,0,5.493746,0.921346,2.071039,0,0,10.824001,1,4180400.1066,851774.2700,4726076.6126,4180399.1904,851773.2004,4726077.6442,4.7360,1.000000
118,0,8.303798,1.278460,1.405414,0,0,10.670202,1,4180399.1316,851774.3516,4726076.7853,4180398.4603,851773.0517,4726078.3123,9.1896,1.000000
119,0,14.300191,3.295713,1.694696,0,0,10.519669,1,4180398.2762,851773.7786,4726076.5592,4180397.7302,851772.9029,4726078.9805,15.0608,1.000000
120,0,9.972177,3.213224,1.927657,0,0,10.372367,1,4180397.6620,851773.0355,4726076.8812,4180397.0000,851772.7541,4726079.6486,10.6169,1.000000
121,0,5.267388,0.564839,1.775874,0,0,10.228260,1,4180396.7888,851773.0412,4726077.2052,4180396.2699,851772.6054,4726080.3168,7.5547,1.000000
122,0,7.364894,1.354713,1.746797,0,0,10.087305,1,4180396.2943,851772.5980,4726077.4725,4180395.5398,851772.4566,4726080.9849,9.7541,1.000000
123,0,6.969452,1.387971,1.734354,0,0,9.949459,1,4180395.2630,851772.2795,4726077.8011,4180394.8096,851772.3078,4726081.6530,9.0240,1.000000
124,0,9.831539,2.981880,1.883052,0,0,9.814674,1,4180394.0522,851771.8880,4726078.0707,4180394.0795,851772.1591,4726082.3212,11.9501,1.000000
125,0,10.406840,2.526392,2.003778,0,0,9.682900,1,4180393.6787,851771.4087,4726079.1129,4180393.3493,851772.0103,4726082.9893,8.0964,1.000000
126,0,7.363142,1.874257,1.939880,0,0,9.554087,1,4180392.6503,851771.5706,4726079.8459,4180392.6192,851771.8615,4726083.6575,6.4800,1.000000
127,0,19.835887,4.957773,2.343522,0,0,9.428180,1,4180391.7496,851771.8116,4726081.5961,4180391.8891,851771.7128,4726084.3256,16.1126,1.000000
128,0,9.464781,3.085684,2.524245,0,0,9.305126,1,4180391.5217,851771.9734,4726082.4103,4180391.1589,851771.5640,4726084.9937,8.8844,1.000000
129,0,5.804558,0.990403,2.293714,0,0,9.184869,1,4180390.5805,851771.6699,4726082.8441,4180390.4288,851771.4152,4726085.6619,7.1967,1.000000
130,0,5.964567,0.659986,2.038390,0,0,9.067353,1,4180390.0137,851771.3883,4726083.7557,4180389.6987,851771.2665,4726086.3300,3.8927,1.000000
131,0,4.263418,0.199586,2.001865,0,0,8.952521,1,4180389.3422,851771.2066,4726084.1336,4180388.9685,851771.1177,4726086.9982,6.8595,1.000000
132,0,13.878357,7.206050,2.586998,0,0,8.840315,1,4180388.2891,851771.8231,4726084.8369,4180388.2384,851770.9689,4726087.6663,13.8053,1.000000
