counter,mode,seed,num_windows,num_flagged_windows,max_D,threshold,trial_exceeds_threshold
hpmcounter5,replay,test_seed_7,282,0,100.82997612204164,119.89820685930462,False
hpmcounter5,replay,test_seed_8,282,0,100.82997612204164,119.89820685930462,False
hpmcounter5,replay,test_seed_9,282,0,100.82997612204164,119.89820685930462,False
hpmcounter6,drift,test_seed_1,282,1,164.8017499023881,163.2210751778113,True
hpmcounter6,drift,test_seed_10,282,0,100.1765397654934,163.2210751778113,False
hpmcounter6,drift,test_seed_11,282,0,71.37146909708197,163.2210751778113,False
hpmcounter6,drift,test_seed_12,282,0,63.269386880796965,163.2210751778113,False
hpmcounter6,drift,test_seed_13,282,0,62.07818265068545,163.2210751778113,False
hpmcounter6,drift,test_seed_14,282,0,71.77681406741823,163.2210751778113,False
hpmcounter6,drift,test_seed_15,282,1,163.5363953966635,163.2210751778113,True
hpmcounter6,drift,test_seed_16,282,0,97.36144938708615,163.2210751778113,False
hpmcounter6,drift,test_seed_17,282,0,100.1207840637252,163.2210751778113,False
hpmcounter6,drift,test_seed_18,282,0,55.95231415387654,163.2210751778113,False
hpmcounter6,drift,test_seed_19,282,0,71.72977084668888,163.2210751778113,False
hpmcounter6,drift,test_seed_2,282,0,56.1546067954496,163.2210751778113,False
hpmcounter6,drift,test_seed_20,282,0,74.87553870141464,163.2210751778113,False
hpmcounter6,drift,test_seed_3,282,0,58.49943358305664,163.2210751778113,False
hpmcounter6,drift,test_seed_4,282,0,94.85713070015537,163.2210751778113,False
hpmcounter6,drift,test_seed_5,282,0,122.86388386443976,163.2210751778113,False
hpmcounter6,drift,test_seed_6,282,0,90.02553835056975,163.2210751778113,False
hpmcounter6,drift,test_seed_7,282,0,85.52142957242957,163.2210751778113,False
hpmcounter6,drift,test_seed_8,282,0,63.41596926206229,163.2210751778113,False
hpmcounter6,drift,test_seed_9,282,0,73.47969715665714,163.2210751778113,False
hpmcounter6,jump,test_seed_1,282,0,147.96259955562368,163.2210751778113,False
hpmcounter6,jump,test_seed_10,282,0,79.52786857670606,163.2210751778113,False
hpmcounter6,jump,test_seed_11,282,0,60.10477913659833,163.2210751778113,False
hpmcounter6,jump,test_seed_12,282,0,141.12331199731668,163.2210751778113,False
hpmcounter6,jump,test_seed_13,282,0,68.90812939563386,163.2210751778113,False
hpmcounter6,jump,test_seed_14,282,0,98.4875022430169,163.2210751778113,False
hpmcounter6,jump,test_seed_15,282,0,74.98284104632646,163.2210751778113,False
hpmcounter6,jump,test_seed_16,282,1,180.5829900483101,163.2210751778113,True
hpmcounter6,jump,test_seed_17,282,0,61.01812409534875,163.2210751778113,False
hpmcounter6,jump,test_seed_18,282,0,84.43289605539918,163.2210751778113,False
hpmcounter6,jump,test_seed_19,282,0,91.41027214870624,163.2210751778113,False
hpmcounter6,jump,test_seed_2,282,0,81.36703655762496,163.2210751778113,False
hpmcounter6,jump,test_seed_20,282,0,94.03064948996906,163.2210751778113,False
hpmcounter6,jump,test_seed_3,282,0,126.48307824058236,163.2210751778113,False
hpmcounter6,jump,test_seed_4,282,0,101.03199260611687,163.2210751778113,False
hpmcounter6,jump,test_seed_5,282,0,83.9230530919176,163.2210751778113,False
hpmcounter6,jump,test_seed_6,282,0,105.15793258841543,163.2210751778113,False
hpmcounter6,jump,test_seed_7,282,0,135.90806847226207,163.2210751778113,False
hpmcounter6,jump,test_seed_8,282,0,92.86479151442292,163.2210751778113,False
hpmcounter6,jump,test_seed_9,282,0,84.0887422412426,163.2210751778113,False
hpmcounter6,replay,test_seed_1,282,0,58.148027847202485,163.2210751778113,False
hpmcounter6,replay,test_seed_10,282,0,78.12039805322699,163.2210751778113,False
hpmcounter6,replay,test_seed_11,282,0,98.41278762427066,163.2210751778113,False
hpmcounter6,replay,test_seed_12,282,0,101.0449654815715,163.2210751778113,False
hpmcounter6,replay,test_seed_13,282,0,93.37298529107392,163.2210751778113,False
hpmcounter6,replay,test_seed_14,282,0,91.77570815298188,163.2210751778113,False
hpmcounter6,replay,test_seed_15,282,0,128.1113265178312,163.2210751778113,False
hpmcounter6,replay,test_seed_16,282,0,65.859337860116,163.2210751778113,False
hpmcounter6,replay,test_seed_17,282,0,86.44454672788083,163.2210751778113,False
hpmcounter6,replay,test_seed_18,282,0,97.2888876146582,163.2210751778113,False
hpmcounter6,replay,test_seed_19,282,0,62.4348309347782,163.2210751778113,False
hpmcounter6,replay,test_seed_2,282,0,126.33546247785064,163.2210751778113,False
hpmcounter6,replay,test_seed_20,282,0,82.54205867850969,163.2210751778113,False
hpmcounter6,replay,test_seed_3,282,0,62.14123167429112,163.2210751778113,False
hpmcounter6,replay,test_seed_4,282,0,53.707216649498974,163.2210751778113,False
hpmcounter6,replay,test_seed_5,282,5,246.39839043069065,163.2210751778113,True
hpmcounter6,replay,test_seed_6,282,0,75.67152414391815,163.2210751778113,False
hpmcounter6,replay,test_seed_7,282,0,75.67152414391815,163.2210751778113,False
hpmcounter6,replay,test_seed_8,282,0,75.67152414391815,163.2210751778113,False
hpmcounter6,replay,test_seed_9,282,0,75.67152414391815,163.2210751778113,False
hpmcounter7,drift,test_seed_1,282,0,63.60082231802453,139.97544633174778,False
hpmcounter7,drift,test_seed_10,282,0,56.85274686102623,139.97544633174778,False
hpmcounter7,drift,test_seed_11,282,0,40.53695022797084,139.97544633174778,False
hpmcounter7,drift,test_seed_12,282,0,53.66720129358816,139.97544633174778,False
hpmcounter7,drift,test_seed_13,282,0,35.647100662204906,139.97544633174778,False
hpmcounter7,drift,test_seed_14,282,0,53.13081838277769,139.97544633174778,False
hpmcounter7,drift,test_seed_15,282,0,52.77653550655491,139.97544633174778,False
hpmcounter7,drift,test_seed_16,282,0,69.44110503565763,139.97544633174778,False
hpmcounter7,drift,test_seed_17,282,0,45.57399897814973,139.97544633174778,False
hpmcounter7,drift,test_seed_18,282,0,34.48975640195186,139.97544633174778,False
hpmcounter7,drift,test_seed_19,282,0,27.558910611181485,139.97544633174778,False
hpmcounter7,drift,test_seed_2,282,0,32.10085966732169,139.97544633174778,False
hpmcounter7,drift,test_seed_20,282,0,48.82420418362781,139.97544633174778,False
hpmcounter7,drift,test_seed_3,282,0,57.756877014998125,139.97544633174778,False
hpmcounter7,drift,test_seed_4,282,0,55.80529306426196,139.97544633174778,False
hpmcounter7,drift,test_seed_5,282,0,36.0777133327254,139.97544633174778,False
hpmcounter7,drift,test_seed_6,282,0,61.39842288198391,139.97544633174778,False
hpmcounter7,drift,test_seed_7,282,0,58.62323798273436,139.97544633174778,False
hpmcounter7,drift,test_seed_8,282,0,33.39252088691588,139.97544633174778,False
hpmcounter7,drift,test_seed_9,282,0,43.62449340296771,139.97544633174778,False
hpmcounter7,jump,test_seed_1,282,0,52.623050525592376,139.97544633174778,False
hpmcounter7,jump,test_seed_10,282,0,42.36540005224173,139.97544633174778,False
hpmcounter7,jump,test_seed_11,282,0,34.96141520738501,139.97544633174778,False
hpmcounter7,jump,test_seed_12,282,0,37.157010082646096,139.97544633174778,False
hpmcounter7,jump,test_seed_13,282,0,34.539730577201965,139.97544633174778,False
hpmcounter7,jump,test_seed_14,282,0,44.81600966849087,139.97544633174778,False
hpmcounter7,jump,test_seed_15,282,0,37.90534292993138,139.97544633174778,False
hpmcounter7,jump,test_seed_16,282,0,64.18945689798105,139.97544633174778,False
hpmcounter7,jump,test_seed_17,282,0,117.75872634353404,139.97544633174778,False
hpmcounter7,jump,test_seed_18,282,0,71.78632250659086,139.97544633174778,False
hpmcounter7,jump,test_seed_19,282,0,50.21110597966232,139.97544633174778,False
hpmcounter7,jump,test_seed_2,282,0,106.1396267956453,139.97544633174778,False
hpmcounter7,jump,test_seed_20,282,0,59.85567499253064,139.97544633174778,False
hpmcounter7,jump,test_seed_3,282,0,74.73440817117728,139.97544633174778,False
hpmcounter7,jump,test_seed_4,282,0,92.9423498526346,139.97544633174778,False
hpmcounter7,jump,test_seed_5,282,0,47.59949040032309,139.97544633174778,False
hpmcounter7,jump,test_seed_6,282,0,34.24834197441708,139.97544633174778,False
hpmcounter7,jump,test_seed_7,282,0,65.84616516099351,139.97544633174778,False
hpmcounter7,jump,test_seed_8,282,0,84.66758743489889,139.97544633174778,False
hpmcounter7,jump,test_seed_9,282,0,48.435439046740974,139.97544633174778,False
hpmcounter7,replay,test_seed_1,282,0,62.188049545637966,139.97544633174778,False
hpmcounter7,replay,test_seed_10,282,0,59.52771778120872,139.97544633174778,False
hpmcounter7,replay,test_seed_11,282,0,71.06290778051556,139.97544633174778,False
hpmcounter7,replay,test_seed_12,282,0,34.68409469218947,139.97544633174778,False
