counter,mode,seed,alpha,beta,W,sigma_eps2,SE_beta,D
hpmcounter4,replay,test_seed_5,-0.744130201997455,-4.0599656745701e-05,291.0,3.1657547812107395e-05,3.926380096928145e-06,10.340225791554078
hpmcounter4,replay,test_seed_16,-1.4030104187274453,1.887226123253045e-05,291.0,1.5745150454781086e-05,2.7690264955521094e-06,6.81548597055499
hpmcounter4,replay,test_seed_17,-0.1144067740486934,-2.036662558396813e-05,291.0,2.3979709490872095e-05,3.4172414263256022e-06,5.959960986972875
hpmcounter5,drift,test_seed_2,0.7075061473621093,-0.0062186929832957,291.0,0.002232306462875521,3.297088557614027e-05,188.6116455360217
hpmcounter5,drift,test_seed_13,0.4941937497472143,-0.0032728771290178,291.0,0.005173084388397963,5.019130473386879e-05,65.2080504057764
hpmcounter5,drift,test_seed_11,1.3180186888643213,-0.0036874603664427,291.0,0.007161258275460415,5.90538711896789e-05,62.4423139780068
hpmcounter5,drift,test_seed_1,-2.4119188656839,0.0025601107296112,291.0,0.007493914363402475,6.040989304310633e-05,42.37899788672688
hpmcounter5,drift,test_seed_18,-0.6410159468230096,0.0018703618420337,291.0,0.006756316865782839,5.735994266773127e-05,32.60745661598963
hpmcounter5,drift,test_seed_3,-0.2197780511429373,-0.0022653267369794,291.0,0.014889313622636612,8.515125295732468e-05,26.60356316911409
hpmcounter5,drift,test_seed_19,0.9005723101800056,-0.0013868477483864,291.0,0.006148106780893281,5.4717267942550415e-05,25.345705305361744
hpmcounter5,drift,test_seed_20,0.331143501367945,-0.0015181277170296,291.0,0.0075467426745651515,6.0622448715215175e-05,25.04233578820409
hpmcounter5,drift,test_seed_4,-0.6905469329721353,-0.001347144138628,291.0,0.006045415313216654,5.425837399193256e-05,24.828317539119418
hpmcounter5,drift,test_seed_15,0.5722059143108598,-0.0014419520855545,291.0,0.011132059532563238,7.362773897076604e-05,19.58435917918148
hpmcounter5,drift,test_seed_16,-0.6925668479681752,0.0009179631562111,291.0,0.0048975276963764405,4.883623267304678e-05,18.796764327763825
hpmcounter5,drift,test_seed_10,0.0870091873026869,0.0012218401483196,291.0,0.010229443999363767,7.057968543598349e-05,17.311498921709163
hpmcounter5,drift,test_seed_9,-0.6321236551462874,-0.000938886112097,291.0,0.006301939286123581,5.5397582286830066e-05,16.948142379856275
hpmcounter5,drift,test_seed_8,-0.968396384579444,0.0004499147590535,291.0,0.0020120383908489746,3.130198185692477e-05,14.373363357948781
hpmcounter5,drift,test_seed_17,-1.889871877994313,0.0020530745997653,291.0,0.0455689609352072,0.00014896638089507858,13.782133844087555
hpmcounter5,drift,test_seed_14,-2.024126634447914,-0.0005079509921541,291.0,0.00856170026671693,6.457043522768047e-05,7.866618683349811
