t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error,lambda_k
139,0,6.875700,1.300086,3.162505,0,0,10.966308,1,4180386.0379,851770.1772,4726093.0850,4180383.1275,851769.9276,4726092.3433,9.2142,1.000000
140,0,4.879505,0.880450,3.132638,0,0,10.825924,1,4180385.3799,851769.7101,4726093.8245,4180382.3973,851769.7788,4726093.0114,5.3887,1.000000
141,0,11.468031,3.173404,3.257364,0,0,10.688003,1,4180384.3467,851769.1403,4726095.0842,4180381.6672,851769.6300,4726093.6796,11.0068,1.000000
142,0,10.576408,1.074937,3.269409,0,0,10.552473,1,4180383.7405,851769.0594,4726095.0641,4180380.9370,851769.4813,4726094.3477,9.6726,1.000000
143,0,13.338825,6.568017,3.624047,0,0,10.419276,1,4180382.1914,851769.1179,4726095.6401,4180380.2069,851769.3325,4726095.0158,10.3648,1.000000
144,0,19.002744,6.452406,4.068031,0,0,10.288368,1,4180380.7979,851768.9765,4726095.2527,4180379.4768,851769.1837,4726095.6840,17.3889,1.000000
145,0,4.350545,0.263372,3.718716,0,0,10.159715,1,4180380.0078,851768.9038,4726096.1852,4180378.7466,851769.0349,4726096.3521,3.6216,1.000000
146,0,11.280455,1.220899,3.747804,0,0,10.033286,1,4180379.3015,851768.8364,4726096.1113,4180378.0165,851768.8862,4726097.0202,11.4821,1.000000
147,0,4.348949,0.651574,2.176798,0,0,9.909060,1,4180378.3909,851768.5371,4726096.6699,4180377.2864,851768.7374,4726097.6884,3.9710,1.000000
148,0,17.694829,3.245221,2.483037,0,0,9.787014,1,4180377.7029,851768.6161,4726098.4476,4180376.5562,851768.5886,4726098.3565,16.6952,1.000000
149,0,14.304341,7.561914,3.109219,0,0,9.667129,1,4180376.0852,851768.6111,4726098.9935,4180375.8261,851768.4399,4726099.0247,13.1497,1.000000
150,1,20.963334,8.838854,3.905060,0,0,9.549388,1,4180376.1334,851768.7704,4726098.6245,4180375.0960,851768.2911,4726099.6928,21.1740,1.000000
151,1,11.826800,1.834829,3.771202,0,0,9.433773,1,4180375.6099,851768.4510,4726099.9629,4180374.3658,851768.1423,4726100.3609,11.0254,1.000000
152,1,3.756931,0.507505,3.714459,0,0,9.320265,1,4180374.6815,851768.2679,4726100.5737,4180373.6357,851767.9936,4726101.0291,2.6791,1.000000
153,1,18.369697,3.640431,3.421701,0,0,9.208847,1,4180374.1266,851767.9345,4726100.1460,4180372.9055,851767.8448,4726101.6972,18.9393,1.000000
154,1,7.834573,2.290512,3.005511,0,0,9.099498,1,4180373.7979,851768.0965,4726100.8383,4180372.1754,851767.6960,4726102.3653,8.8735,1.000000
155,1,7.268058,0.524503,3.031624,0,0,8.992200,1,4180373.0628,851768.0018,4726101.9110,4180371.4453,851767.5473,4726103.0335,5.8161,1.000000
156,1,15.868934,2.950817,3.204616,0,0,8.886931,1,4180372.6389,851767.8399,4726103.4660,4180370.7151,851767.3985,4726103.7016,15.3601,1.000000
157,1,19.120395,3.759794,3.515438,0,0,8.783668,1,4180371.9805,851767.5190,4726103.0553,4180369.9850,851767.2497,4726104.3698,19.4092,1.000000
158,1,9.815737,1.699043,3.360820,0,0,8.682388,1,4180371.5011,851767.1525,4726103.2393,4180369.2549,851767.1010,4726105.0379,11.6672,1.000000
159,1,9.879096,3.689379,2.973567,0,0,8.583067,1,4180371.0695,851767.5283,4726103.8818,4180368.5247,851766.9522,4726105.7060,11.2795,1.000000
160,1,13.072657,6.422051,2.731886,0,0,8.485680,1,4180370.8473,851767.9909,4726104.6038,4180367.7946,851766.8034,4726106.3742,15.1633,1.000000
