t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error,lambda_k
120,0,8.940151,2.658111,3.628541,0,0,8.419433,1,4180398.2318,851772.0488,4726078.8823,4180397.0000,851772.7541,4726079.6486,9.1722,1.000000
121,0,7.424841,1.795229,3.310231,0,0,8.309492,1,4180397.3434,851771.5422,4726079.3483,4180396.2699,851772.6054,4726080.3168,7.9041,1.000000
122,0,6.058174,1.221705,3.235901,0,0,8.202680,1,4180396.3475,851771.2825,4726079.8566,4180395.5398,851772.4566,4726080.9849,5.9657,1.000000
123,0,6.775808,1.711766,3.182189,0,0,8.098878,1,4180395.8336,851771.3986,4726080.5496,4180394.8096,851772.3078,4726081.6530,6.2469,1.000000
124,0,8.848788,2.004227,2.677288,0,0,7.997975,1,4180394.7743,851771.2599,4726081.4981,4180394.0795,851772.1591,4726082.3212,7.2721,1.000000
125,0,10.272599,1.537715,2.128718,0,0,7.899863,1,4180394.2668,851771.1925,4726082.6336,4180393.3493,851772.0103,4726082.9893,9.6577,1.000000
126,0,10.044748,1.953607,2.161576,0,0,7.804444,1,4180393.3526,851771.2379,4726083.7161,4180392.6192,851771.8615,4726083.6575,9.0441,1.000000
127,0,13.212977,2.070894,2.153537,0,0,7.711620,1,4180392.5259,851770.9079,4726085.0362,4180391.8891,851771.7128,4726084.3256,13.3235,1.000000
128,0,7.697363,1.983744,1.872005,0,0,7.621300,1,4180391.5377,851770.9605,4726085.5679,4180391.1589,851771.5640,4726084.9937,6.4630,1.000000
129,0,5.074365,0.361167,1.729817,0,0,7.533398,1,4180390.7250,851770.7647,4726086.0180,4180390.4288,851771.4152,4726085.6619,4.4943,1.000000
130,0,17.554068,5.671946,2.031200,0,0,7.447832,1,4180389.9951,851771.0865,4726087.4098,4180389.6987,851771.2665,4726086.3300,17.4934,1.000000
131,0,8.836440,0.976607,1.949338,0,0,7.364522,1,4180389.2433,851771.0601,4726088.5037,4180388.9685,851771.1177,4726086.9982,9.8100,1.000000
132,0,9.761218,3.611931,2.188360,0,0,7.283393,1,4180388.4246,851771.3653,4726089.1568,4180388.2384,851770.9689,4726087.6663,9.6167,1.000000
133,0,13.697104,2.775453,2.294729,0,0,7.204374,1,4180387.8684,851770.9685,4726089.2604,4180387.5083,851770.8202,4726088.3344,12.2466,1.000000
134,0,11.524131,2.336098,2.327916,0,0,7.127397,1,4180386.9128,851770.6547,4726090.4020,4180386.7781,851770.6714,4726089.0026,12.1372,1.000000
135,0,7.184227,1.176762,2.291821,0,0,7.052395,1,4180386.1308,851770.7153,4726090.8476,4180386.0480,851770.5226,4726089.6707,6.1581,1.000000
136,0,6.794856,1.097399,2.206200,0,0,6.979308,1,4180385.2010,851770.6024,4726091.3112,4180385.3179,851770.3739,4726090.3389,5.9524,1.000000
137,0,13.802946,3.679991,2.367110,0,0,6.908074,1,4180384.1169,851770.4622,4726092.4991,4180384.5877,851770.2251,4726091.0070,14.6671,1.000000
138,0,10.656024,2.147876,2.383523,0,0,6.838638,1,4180383.3879,851770.0292,4726092.7886,4180383.8576,851770.0763,4726091.6751,9.3392,1.000000
139,0,11.656751,2.179421,2.565348,0,0,6.770944,1,4180382.4270,851769.8253,4726093.0088,4180383.1275,851769.9276,4726092.3433,10.9231,1.000000
140,0,13.019175,1.664546,2.164608,0,0,6.704940,1,4180381.7265,851769.7182,4726094.2534,4180382.3973,851769.7788,4726093.0114,13.6798,1.000000
141,0,19.005243,7.043765,2.771324,0,0,6.640575,1,4180380.7873,851769.1043,4726095.6084,4180381.6672,851769.6300,4726093.6796,20.2433,1.000000
142,0,4.845322,0.555645,2.465696,0,0,6.577803,1,4180380.2160,851768.8869,4726096.4546,4180380.9370,851769.4813,4726094.3477,6.1267,1.000000
143,0,6.312708,0.813257,2.269476,0,0,6.516576,1,4180379.3365,851768.6790,4726097.3686,4180380.2069,851769.3325,4726095.0158,8.5453,1.000000
144,0,2.847393,0.152007,2.051067,0,0,6.456850,1,4180378.5979,851768.5777,4726098.1710,4180379.4768,851769.1837,4726095.6840,5.0102,1.000000
145,0,3.422193,0.194686,1.952859,0,0,6.398583,1,4180377.9537,851768.3936,4726099.0008,4180378.7466,851769.0349,4726096.3521,5.6483,1.000000
146,0,15.277085,5.382285,2.381348,0,0,6.341734,1,4180377.5700,851768.5447,4726099.2481,4180378.0165,851768.8862,4726097.0202,12.6687,1.000000
147,0,18.945495,6.333130,2.646662,0,0,6.286264,1,4180377.0543,851767.9980,4726099.2911,4180377.2864,851768.7374,4726097.6884,17.1494,1.000000
148,0,13.121930,2.193573,2.651232,0,0,6.232134,1,4180376.4536,851767.9901,4726100.4911,4180376.5562,851768.5886,4726098.3565,14.4700,1.000000
149,0,12.682621,4.653578,2.898647,0,0,6.179309,1,4180375.3944,851768.0949,4726100.9003,4180375.8261,851768.4399,4726099.0247,11.3199,1.000000
150,1,707.925590,19227.245376,1925.456730,1,1,6.127753,1,4180395.7888,851789.2343,4726102.1028,4180375.0960,851768.2911,4726099.6928,707.4224,1.000000
151,1,668.031696,8931.131789,2817.865533,1,1,165.062725,1,4180869.1112,852259.0372,4726094.7276,4180374.3658,851768.1423,4726100.3609,697.9967,14956.332707
152,1,12.349929,1.638156,2817.973784,0,1,7547.319679,1,4180873.2260,852274.1464,4726105.0047,4180373.6357,851767.9936,4726101.0291,711.1967,557.098102
153,1,22.370793,8.801586,2818.772617,0,1,2116.028354,1,4180871.5872,852265.4946,4726097.4104,4180372.9055,851767.8448,4726101.6972,704.5054,12.503130
154,1,9.413750,1.287712,2818.886187,0,1,4726.114988,1,4180877.1733,852259.5493,4726095.7483,4180372.1754,851767.6960,4726102.3653,704.9831,39.346297
155,1,27.231792,12.952428,2820.161961,1,1,2828.848237,1,4180867.2595,852273.2991,4726104.5883,4180371.4453,851767.5473,4726103.0335,708.2571,19.009105
156,1,20.418818,6.605162,2820.284249,0,1,4008.094420,1,4180867.4981,852271.3329,4726123.5484,4180370.7151,851767.3985,4726103.7016,707.9048,30.484277
157,1,41.001937,10.925613,2820.743497,0,1,3181.371885,1,4180875.2464,852260.9047,4726102.6600,4180369.9850,851767.2497,4726104.3698,706.3891,22.194584
158,1,13.429809,2.461709,2820.770311,0,1,3720.996450,1,4180875.1005,852258.1851,4726093.0977,4180369.2549,851767.1010,4726105.0379,705.1133,27.444974
159,1,22.916796,7.141576,2821.019111,0,1,3350.219137,1,4180866.6144,852269.6936,4726097.7679,4180368.5247,851766.9522,4726105.7060,707.7531,23.782255
160,1,19.145069,6.254414,898.920015,0,1,1846.549513,1,4180868.6614,852266.1995,4726109.8461,4180367.7946,851766.8034,4726106.3742,707.2926,12.386744
161,1,37.360636,9.419895,6.748825,0,1,355.494684,1,4180861.7712,852256.2363,4726088.1773,4180367.0644,851766.6547,4726107.0423,695.5432,1.000000
162,1,49.627386,25.310365,9.116046,1,1,191.854666,1,4180865.2669,852267.1816,4726105.2917,4180366.3343,851766.5059,4726107.7104,711.3633,1.147510
163,1,13.682702,4.083480,8.644235,0,1,165.299293,1,4180859.0206,852259.9655,4726106.0617,4180365.6042,851766.3571,4726108.3786,695.4806,1.981047
164,1,6.101045,0.536970,8.569161,0,1,161.373719,1,4180859.6100,852257.3663,4726104.2480,4180364.8740,851766.2083,4726109.0467,697.5912,2.430011
165,1,13.925935,2.922456,7.566164,0,1,161.980077,1,4180859.8178,852263.5226,4726111.9039,4180364.1439,851766.0596,4726109.7148,704.0671,2.404707
166,1,6.420344,0.901002,6.995748,0,1,164.740365,1,4180863.2564,852266.3655,4726115.5872,4180363.4138,851765.9108,4726110.3830,708.6015,2.303365
167,1,11.732446,1.135292,6.016716,0,1,149.094092,1,4180862.6605,852264.7513,4726110.7693,4180362.6836,851765.7620,4726111.0511,705.3033,1.644013
168,1,10.380863,1.110825,5.881627,0,1,143.832322,1,4180866.5453,852264.5287,4726117.5464,4180361.9535,851765.6133,4726111.7192,710.5179,1.746773
169,1,30.561844,6.986317,5.866102,0,1,145.678296,1,4180869.1917,852271.8182,4726098.5338,4180361.2233,851765.4645,4726112.3874,719.5849,1.990922
